p1,p2,p3,p4,p5,p6,p7,p8,score
0.898173121357879,0.9230824398201768,0.5405999249480544,0.3912960502346249,0.7052833998544062,0.27563412131212717,0.8116287085078785,0.8494859651863671,1
0.8950389674266752,0.5898011835311598,0.9497648732321206,0.5796950107456059,0.4505631066311552,0.660245378622389,0.9962578393535727,0.9169412179474561,8
0.7933250841302242,0.0823729881966474,0.6127831050407122,0.4864442019691668,0.6301473404114728,0.8450775756715152,0.24303562206185625,0.7314892207908478,4
0.11713429320851798,0.22046053686782852,0.7945829717105759,0.33253614921965546,0.8159130965336595,0.1006075202160962,0.14635848891230385,0.6976706401912388,9
0.04523406786561235,0.5738660367891669,0.9100160146990397,0.534197968260724,0.6805891325622565,0.026696794662205203,0.6349999099114583,0.6063384177542189,8
0.5759529480315407,0.3912094093228269,0.3701399403351875,0.9805166506472687,0.036392037611485795,0.021636509855024078,0.9610312802396112,0.18497194139743833,8
0.12389516442443171,0.21057650988664645,0.8007465903541809,0.9369691586445807,0.022782575668658378,0.42561883196681716,0.10150021937416975,0.259919889792832,9
0.22082927131631735,0.6469257198353225,0.3502939673965323,0.18031790152968785,0.5036365052098872,0.03937870708469238,0.10092124118896661,0.9882351487225011,9
0.19935579046706298,0.35855530131160185,0.7315983062253606,0.8383265651934163,0.9184820619953314,0.16942460609746768,0.6726405635730526,0.9665489030431832,8
0.05805094382649867,0.6762017842993783,0.8454245937016164,0.342312541078584,0.25068733928511167,0.596791393469411,0.44231403369907896,0.17481948445144113,2
0.47162541509628797,0.40990539565755457,0.5691127395242802,0.5086001300626332,0.3114460010002068,0.35715168259026286,0.837661174368979,0.25093266482213705,2
0.560600218853524,0.012436318829314397,0.7415743774106636,0.3359165544734606,0.04569649356841665,0.28088316421834825,0.24013040782635398,0.9531293398277989,9
0.35222556151550743,0.2878779148564,0.35920119725374633,0.9469058356578911,0.6337478522492526,0.6210768456186673,0.7156193503014563,0.38801723531250565,2
0.4144179882772473,0.650832862263345,0.001524221856720187,0.1923095412446758,0.3344016906625016,0.23941596018595857,0.6373994011293003,0.37864807032309444,1
0.8754233917130172,0.5681514209101919,0.4144063966836443,0.40226707511907955,0.7018296239336754,0.41822655329246605,0.6621958889738174,0.04677968595679827,1
0.44535218971882984,0.25922692344722276,0.15768657212231085,0.5275731301676146,0.48726560106903205,0.5614049256144269,0.7554847672586825,0.8838751542487009,4
0.4945826703752868,0.31205824641687296,0.46689223535252355,0.8090458573603624,0.8750163314802711,0.8124149323637591,0.188001294050828,0.9994203594553304,4
0.6330887599183004,0.08346705017572931,0.7255543554613124,0.9868214802051282,0.40181682221254356,0.6785150052419683,0.31617713722134233,0.2135246620646961,9
0.7173241433110372,0.0023575647193538884,0.8227314105314157,0.5283459768597928,0.09778434180065931,0.11890389478474583,0.6492654248961536,0.8736538239003423,4
0.27998274332687256,0.9785151867733981,0.10018068906370903,0.8539381095973382,0.39669617733090445,0.08134541676823415,0.2747138434192621,0.4529781848179143,7
0.7923415311856522,0.8613599036372361,0.13342055420254906,0.5208655284141989,0.6507832381497373,0.3470530145996015,0.8718638357105861,0.27840981521636055,1
0.01857432754559518,0.0406632736752609,0.6809967701112433,0.5583557360970469,0.946502554169996,0.9384387997349186,0.9098511774051025,0.04200453196734122,8
0.7491348233908631,0.7013248175948597,0.6553618646747296,0.7123576525162417,0.9027101506193307,0.6401411997932241,0.372449262972256,0.5379287837318205,2
0.20784410369082473,0.5871255046951435,0.008897082049078797,0.15102317386398778,0.3334083880298664,0.7896231589257826,0.7184994227715396,0.3382559700266786,2
0.6205381083165517,0.041202949506209285,0.16386054567557595,0.9819140701253054,0.28953085363586695,0.39479198298829066,0.5484842965725134,0.29340700145733656,4
0.47806466915102097,0.2397060836386239,0.04825636228829444,0.17958684904155564,0.5230502317000981,0.07086288409434749,0.4031691464450935,0.3285207100154869,9
0.4147216089714424,0.09940033823870109,0.9086575543967805,0.4740046511372964,0.8408483326276716,0.976229457649057,0.34365159365776776,0.4790865191519861,4
0.6995952911506185,0.42653532354402823,0.30190311621935595,0.7347509912186152,0.8943997782145745,0.9196888444316101,0.6267420468068673,0.3755713463285453,2
0.9745605214796941,0.6388785175004733,0.06583467727730097,0.08466956912011114,0.749869571783086,0.06115615654596607,0.007851005331251826,0.39380795178170946,9
0.5190037287013293,0.44854428559655457,0.48861880442715255,0.5848887019932744,0.6793025673721249,0.4230380735074225,0.3683314563344259,0.9884590580992895,9
