x,y,z,score
0.47700977655271704,0.8653099277716401,0.2604923103919594,4
0.8050278270130223,0.5486993038355893,0.014041700164018955,1
0.7197046864039541,0.39882354222426875,0.824844977148233,3
0.6681532012318508,0.0011428193144282783,0.49357786646532464,9
0.8676027754927809,0.24391087688713198,0.32520436274739006,3
0.8704712321086546,0.19106709150239054,0.5675107406206719,3
0.23861592861522019,0.9675402502901433,0.80317946927987,6
0.44796957143557037,0.08044581855253541,0.32005460467254576,9
0.5079406425205739,0.9328338242269067,0.10905784593110368,7
0.5512672460905512,0.7065614098668896,0.5474409113284238,4
0.814466863291336,0.540283606970324,0.9638385459738009,10
0.603185627961383,0.5876170641754364,0.4449890262755162,1
0.5962868615831063,0.38490114597266045,0.5756510141648885,3
0.290329502402758,0.18939132855435614,0.1867295282555551,9
0.6127731798686067,0.6566593889896288,0.47653099200938076,4
0.08982436119559367,0.7576039219664368,0.8767703708227748,6
0.9233810159462806,0.8424602231401824,0.898173121357879,8
0.9230824398201768,0.5405999249480544,0.3912960502346249,1
0.7052833998544062,0.27563412131212717,0.8116287085078785,3
0.8494859651863671,0.8950389674266752,0.5898011835311598,8
0.9497648732321206,0.5796950107456059,0.4505631066311552,1
0.660245378622389,0.9962578393535727,0.9169412179474561,10
0.7933250841302242,0.0823729881966474,0.6127831050407122,3
0.4864442019691668,0.6301473404114728,0.8450775756715152,5
0.24303562206185625,0.7314892207908478,0.11713429320851798,2
0.22046053686782852,0.7945829717105759,0.33253614921965546,5
0.8159130965336595,0.1006075202160962,0.14635848891230385,3
0.6976706401912388,0.04523406786561235,0.5738660367891669,9
0.9100160146990397,0.534197968260724,0.6805891325622565,3
0.026696794662205203,0.6349999099114583,0.6063384177542189,5
0.5759529480315407,0.3912094093228269,0.3701399403351875,3
0.9805166506472687,0.036392037611485795,0.021636509855024078,3
0.9610312802396112,0.18497194139743833,0.12389516442443171,3
0.21057650988664645,0.8007465903541809,0.9369691586445807,6
0.022782575668658378,0.42561883196681716,0.10150021937416975,2
0.259919889792832,0.22082927131631735,0.6469257198353225,9
0.3502939673965323,0.18031790152968785,0.5036365052098872,9
0.03937870708469238,0.10092124118896661,0.9882351487225011,9
0.19935579046706298,0.35855530131160185,0.7315983062253606,2
0.8383265651934163,0.9184820619953314,0.16942460609746768,7
0.6726405635730526,0.9665489030431832,0.05805094382649867,7
0.6762017842993783,0.8454245937016164,0.342312541078584,7
0.25068733928511167,0.596791393469411,0.44231403369907896,2
0.17481948445144113,0.47162541509628797,0.40990539565755457,2
0.5691127395242802,0.5086001300626332,0.3114460010002068,2
0.35715168259026286,0.837661174368979,0.25093266482213705,4
0.560600218853524,0.012436318829314397,0.7415743774106636,9
0.3359165544734606,0.04569649356841665,0.28088316421834825,9
0.24013040782635398,0.9531293398277989,0.35222556151550743,5
0.2878779148564,0.35920119725374633,0.9469058356578911,5
0.6337478522492526,0.6210768456186673,0.7156193503014563,8
0.38801723531250565,0.4144179882772473,0.650832862263345,2
0.001524221856720187,0.1923095412446758,0.3344016906625016,2
0.23941596018595857,0.6373994011293003,0.37864807032309444,2
0.8754233917130172,0.5681514209101919,0.4144063966836443,1
0.40226707511907955,0.7018296239336754,0.41822655329246605,2
0.6621958889738174,0.04677968595679827,0.44535218971882984,9
0.25922692344722276,0.15768657212231085,0.5275731301676146,9
0.48726560106903205,0.5614049256144269,0.7554847672586825,5
0.8838751542487009,0.4945826703752868,0.31205824641687296,3
0.46689223535252355,0.8090458573603624,0.8750163314802711,10
0.8124149323637591,0.188001294050828,0.9994203594553304,3
