1893,1068
1822,1010
1701,877
866,264
1487,665
497,124
1836,952
1395,591
197,59
836,246
340,80
1756,897
1528,706
1908,1049
1541,692
20,39
907,279
82,45
347,84
1422,623
422,107
51,41
1740,887
1553,706
1756,929
46,39
898,291
1488,701
735,220
1887,1022
1588,772
1381,595
55,40
380,89
1918,1074
1758,876
1858,1071
340,84
835,249
753,225
1825,984
445,110
570,147
927,306
1587,780
482,122
1440,633
117,46
1871,1047
350,88
935,313
550,142
1673,852
1837,981
216,58
1751,887
261,65
1602,751
945,311
133,51
540,142
916,304
1885,1014
21,39
765,215
1445,621
1788,948
1591,773
1638,828
898,280
86,42
1758,889
198,60
1343,545
1893,1017
1822,969
686,193
1730,868
507,127
1857,977
1508,694
46,40
1417,625
1858,988
1543,717
378,92
1518,701
1467,633
23,41
1728,902
1865,1061
1762,926
525,129
1490,659
1772,946
922,295
1662,842
330,79
1493,682
758,212
