13,33
15,33
21,36
27,37
33,40
42,42
60,47
80,50
103,51
131,53
153,55
172,56
196,58
216,62
242,65
276,68
313,71
363,76
406,85
446,91
478,98
518,106
555,117
590,128
635,143
671,156
707,170
737,183
770,195
797,206
821,217
848,228
875,241
901,255
932,271
967,287
996,302
1337,526
1373,555
1415,587
1467,633
1516,673
1557,708
1593,742
1633,777
1676,813
1707,847
1758,900
1813,957
1851,995
1885,1030
1908,1057
1918,1066
1908,1065
1887,1040
1867,1021
1848,1000
1833,985
1813,963
1800,948
1783,936
1762,918
1738,900
1716,880
1693,862
1672,846
1653,830
1637,817
1623,806
1605,793
1588,781
1562,761
1538,743
1512,725
1490,707
1463,688
1440,672
1415,656
1390,637
1356,612
1330,592
1303,573
977,340
927,312
885,293
835,275
798,260
750,240
717,226
678,212
643,197
606,183
572,171
540,160
503,151
471,141
441,135
420,131
380,122
340,116
295,108
250,100
197,87
158,78
128,73
101,68
86,65
67,61
48,56
46,55
40,53
33,50
27,46
80,56
133,63
167,68
192,72
213,77
238,86
250,88
251,88
220,75
161,61
117,48
113,48
118,51
187,68
256,81
315,88
378,98
433,110
466,120
482,123
482,125
468,120
413,103
323,80
271,75
250,73
245,73
255,77
303,91
375,103
430,112
465,120
503,128
551,142
590,156
627,172
652,183
672,192
676,193
675,193
645,176
600,151
528,121
506,112
503,111
506,111
550,131
616,155
681,178
736,200
780,215
828,233
870,251
918,272
945,286
962,295
963,295
945,287
866,255
797,223
755,205
735,195
723,191
767,216
841,257
885,278
922,295
965,313
997,311
991,306
1341,555
1371,580
1367,577
1310,542
1371,566
1422,597
1465,631
1488,656
1508,677
1511,681
1488,667
1438,626
1353,576
1325,572
1387,620
1441,660
1490,690
1526,717
1568,748
1607,777
1658,817
1698,853
1730,882
1738,891
1735,888
1716,870
1663,822
1590,766
1535,721
1470,672
1445,651
1433,643
1440,646
1485,691
1572,761
1652,830
1708,880
1758,927
1800,963
1831,991
1871,1028
1905,1063
1917,1081
1910,1075
1883,1045
1846,1005
1780,948
1728,907
1667,862
1607,811
1550,771
1500,727
1463,696
1433,671
1376,628
1330,596
973,325
862,253
791,217
768,203
760,201
767,208
835,277
901,325
980,343
916,291
895,277
895,276
907,287
976,327
898,288
803,243
728,215
657,198
582,180
505,153
433,126
358,100
285,81
198,73
125,72
95,71
86,70
90,70
133,75
273,101
397,125
442,131
495,147
497,148
471,135
445,122
330,72
260,56
225,46
156,30
98,17
51,10
40,7
55,13
76,21
135,36
208,53
283,71
302,76
337,91
347,95
350,96
312,78
247,57
187,38
160,32
132,27
86,21
76,20
87,23
178,58
266,76
358,93
415,105
426,107
428,108
425,106
397,96
358,80
336,71
335,71
337,71
393,93
456,113
536,135
612,157
643,171
682,183
686,185
666,173
640,163
573,143
525,132
507,127
501,126
511,130
552,146
630,171
697,190
712,195
717,197
692,188
628,167
608,162
648,177
721,207
772,228
811,245
822,250
797,236
728,205
701,190
686,182
688,182
722,196
788,220
852,245
893,261
916,271
923,275
922,273
892,261
855,241
828,228
822,225
833,232
853,243
898,270
927,287
935,291
935,292
911,283
856,262
832,252
828,251
835,255
873,278
926,306
968,333
953,331
886,287
845,262
843,261
862,273
921,300
988,327
978,307
930,285
917,278
948,298
1310,548
1330,560
1330,561
1327,553
1333,541
1421,605
1476,646
1520,678
1533,686
